Date,Product,Units_Sold,Revenue
2022-02-02,Product B,21,315
2022-02-02,Product C,43,430
2022-02-03,Product A,42,840
2022-02-03,Product B,32,480
2022-02-03,Product C,33,330
2022-02-04,Product A,46,920
2022-02-04,Product B,44,660
2022-02-04,Product C,49,490
2022-02-05,Product A,31,620
2022-02-05,Product B,36,540
2022-02-05,Product C,44,440
2022-02-06,Product A,10,200
2022-02-06,Product B,44,660
2022-02-06,Product C,46,460
2022-02-07,Product A,23,460
2022-02-07,Product B,12,180
2022-02-07,Product C,10,100
2022-02-08,Product A,14,280
2022-02-08,Product B,35,525
2022-02-08,Product C,23,230
2022-02-09,Product A,48,960
2022-02-09,Product B,36,540
2022-02-09,Product C,18,180
2022-02-10,Product A,24,480
2022-02-10,Product B,24,360
2022-02-10,Product C,35,350
2022-02-11,Product A,22,440
2022-02-11,Product B,41,615
2022-02-11,Product C,48,480
2022-02-12,Product A,41,820
2022-02-12,Product B,13,195
2022-02-12,Product C,39,390
2022-02-13,Product A,46,920
2022-02-13,Product B,32,480
2022-02-13,Product C,48,480
2022-02-14,Product A,24,480
2022-02-14,Product B,38,570
2022-02-14,Product C,45,450
2022-02-15,Product A,22,440
2022-02-15,Product B,41,615
2022-02-15,Product C,16,160
2022-02-16,Product A,31,620
2022-02-16,Product B,37,555
2022-02-16,Product C,11,110
2022-02-17,Product A,15,300
2022-02-17,Product B,37,555
2022-02-17,Product C,37,370
2022-02-18,Product A,29,580
2022-02-18,Product B,39,585
2022-02-18,Product C,20,200
2022-02-19,Product A,37,740
2022-02-19,Product B,34,510
2022-02-19,Product C,48,480
2022-02-20,Product A,42,840
2022-02-20,Product B,10,150
2022-02-20,Product C,36,360
2022-02-21,Product A,22,440
2022-02-21,Product B,12,180
2022-02-21,Product C,48,480
2022-02-22,Product A,15,300
2022-02-22,Product B,17,255
2022-02-22,Product C,36,360
2022-02-23,Product A,18,360
2022-02-23,Product B,46,690
2022-02-23,Product C,42,420
2022-02-24,Product A,33,660
2022-02-24,Product B,24,360
2022-02-24,Product C,41,410
2022-02-25,Product A,41,820
2022-02-25,Product B,33,495
2022-02-25,Product C,21,210
2022-02-26,Product A,48,960
2022-02-26,Product B,11,165
2022-02-26,Product C,12,120
2022-02-27,Product A,46,920
2022-02-27,Product B,26,390
2022-02-27,Product C,11,110
2022-02-28,Product A,11,220
2022-02-28,Product B,37,555
2022-02-28,Product C,32,320
2022-03-01,Product A,46,920
2022-03-01,Product B,41,615
2022-03-01,Product C,42,420
2022-03-02,Product A,10,200
2022-03-02,Product B,28,420
2022-03-02,Product C,11,110
2022-03-03,Product A,35,700
2022-03-03,Product B,41,615
2022-03-03,Product C,15,150
2022-03-04,Product A,41,820
2022-03-04,Product B,13,195
2022-03-04,Product C,20,200
2022-03-05,Product A,26,520
2022-03-05,Product B,47,705
2022-03-05,Product C,33,330
2022-03-06,Product A,14,280
2022-03-06,Product B,43,645
2022-03-06,Product C,15,150
2022-03-07,Product A,31,620
2022-03-07,Product B,20,300
2022-03-07,Product C,25,250
2022-03-08,Product A,42,840
2022-03-08,Product B,18,270
2022-03-08,Product C,15,150
2022-03-09,Product A,25,500
2022-03-09,Product B,38,570
2022-03-09,Product C,12,120
2022-03-10,Product A,29,580
2022-03-10,Product B,45,675
2022-03-10,Product C,28,280
2022-03-11,Product A,35,700
2022-03-11,Product B,12,180
2022-03-11,Product C,28,280
2022-03-12,Product A,29,580
2022-03-12,Product B,41,615
2022-03-12,Product C,16,160
2022-03-13,Product A,42,840
2022-03-13,Product B,49,735
2022-03-13,Product C,48,480
2022-03-14,Product A,27,540
2022-03-14,Product B,49,735
2022-03-14,Product C,10,100
2022-03-15,Product A,20,400
2022-03-15,Product B,37,555
2022-03-15,Product C,34,340
2022-03-16,Product A,32,640
2022-03-16,Product B,40,600
2022-03-16,Product C,39,390
2022-03-17,Product A,44,880
2022-03-17,Product B,16,240
2022-03-17,Product C,25,250
2022-03-18,Product A,35,700
2022-03-18,Product B,11,165
2022-03-18,Product C,10,100
2022-03-19,Product A,21,420
2022-03-19,Product B,14,210
2022-03-19,Product C,46,460
2022-03-20,Product A,41,820
2022-03-20,Product B,18,270
2022-03-20,Product C,44,440
2022-03-21,Product A,28,560
2022-03-21,Product B,25,375
2022-03-21,Product C,12,120
2022-03-22,Product A,29,580
2022-03-22,Product B,33,495
2022-03-22,Product C,42,420
2022-03-23,Product A,33,660
2022-03-23,Product B,20,300
2022-03-23,Product C,17,170
2022-03-24,Product A,45,900
2022-03-24,Product B,47,705
2022-03-24,Product C,49,490
2022-03-25,Product A,29,580
2022-03-25,Product B,44,660
2022-03-25,Product C,34,340
2022-03-26,Product A,44,880
2022-03-26,Product B,34,510
2022-03-26,Product C,38,380
2022-03-27,Product A,27,540
2022-03-27,Product B,27,405
2022-03-27,Product C,11,110
2022-03-28,Product A,44,880
2022-03-28,Product B,25,375
2022-03-28,Product C,45,450
2022-03-29,Product A,42,840
2022-03-29,Product B,13,195
2022-03-29,Product C,42,420
2022-03-30,Product A,23,460
2022-03-30,Product B,30,450
2022-03-30,Product C,29,290
2022-03-31,Product A,17,340
2022-03-31,Product B,16,240
2022-03-31,Product C,12,120
2022-04-01,Product A,26,520
2022-04-01,Product B,42,630
2022-04-01,Product C,21,210
2022-04-02,Product A,31,620
2022-04-02,Product B,31,465
2022-04-02,Product C,39,390
2022-04-03,Product A,47,940
2022-04-03,Product B,47,705
2022-04-03,Product C,17,170
2022-04-04,Product A,36,720
2022-04-04,Product B,36,540
2022-04-04,Product C,43,430
2022-04-05,Product A,30,600
2022-04-05,Product B,39,585
2022-04-05,Product C,42,420
2022-04-06,Product A,37,740
2022-04-06,Product B,42,630
2022-04-06,Product C,14,140
2022-04-07,Product A,28,560
2022-04-07,Product B,13,195
2022-04-07,Product C,44,440
2022-04-08,Product A,26,520
2022-04-08,Product B,37,555
2022-04-08,Product C,39,390
2022-04-09,Product A,38,760
2022-04-09,Product B,15,225
2022-04-09,Product C,44,440
2022-04-10,Product A,46,920
2022-04-10,Product B,33,495
2022-04-10,Product C,38,380
2022-04-11,Product A,40,800
2022-04-11,Product B,44,660
2022-04-11,Product C,42,420
2022-04-12,Product A,30,600
2022-04-12,Product B,41,615
2022-04-12,Product C,32,320
2022-04-13,Product A,42,840
2022-04-13,Product B,12,180
2022-04-13,Product C,27,270
2022-04-14,Product A,34,680
2022-04-14,Product B,40,600
2022-04-14,Product C,12,120
2022-04-15,Product A,49,980
2022-04-15,Product B,33,495
2022-04-15,Product C,41,410
2022-04-16,Product A,31,620
2022-04-16,Product B,32,480
2022-04-16,Product C,11,110
2022-04-17,Product A,36,720
2022-04-17,Product B,11,165
2022-04-17,Product C,35,350
2022-04-18,Product A,26,520
2022-04-18,Product B,49,735
2022-04-18,Product C,42,420
2022-04-19,Product A,18,360
2022-04-19,Product B,48,720
2022-04-19,Product C,38,380
2022-04-20,Product A,35,700
2022-04-20,Product B,44,660
2022-04-20,Product C,34,340
2022-04-21,Product A,33,660
2022-04-21,Product B,22,330
2022-04-21,Product C,16,160
2022-04-22,Product A,45,900
2022-04-22,Product B,29,435
2022-04-22,Product C,10,100
2022-04-23,Product A,17,340
2022-04-23,Product B,25,375
2022-04-23,Product C,23,230
2022-04-24,Product A,21,420
2022-04-24,Product B,32,480
2022-04-24,Product C,24,240
2022-04-25,Product A,37,740
2022-04-25,Product B,43,645
2022-04-25,Product C,11,110
2022-04-26,Product A,41,820
2022-04-26,Product B,32,480
2022-04-26,Product C,31,310
2022-04-27,Product A,34,680
2022-04-27,Product B,31,465
2022-04-27,Product C,31,310
2022-04-28,Product A,15,300
2022-04-28,Product B,24,360
2022-04-28,Product C,46,460
2022-04-29,Product A,42,840
2022-04-29,Product B,17,255
2022-04-29,Product C,14,140
2022-04-30,Product A,48,960
2022-04-30,Product B,13,195
2022-04-30,Product C,15,150
2022-05-01,Product A,41,820
2022-05-01,Product B,39,585
2022-05-01,Product C,44,440
2022-05-02,Product A,49,980
2022-05-02,Product B,25,375
2022-05-02,Product C,22,220
2022-05-03,Product A,39,780
2022-05-03,Product B,28,420
2022-05-03,Product C,26,260
2022-05-04,Product A,28,560
2022-05-04,Product B,37,555
2022-05-04,Product C,35,350
2022-05-05,Product A,46,920
2022-05-05,Product B,35,525
2022-05-05,Product C,32,320
2022-05-06,Product A,18,360
2022-05-06,Product B,21,315
2022-05-06,Product C,10,100
2022-05-07,Product A,10,200
2022-05-07,Product B,43,645
2022-05-07,Product C,41,410
2022-05-08,Product A,34,680
2022-05-08,Product B,49,735
2022-05-08,Product C,10,100
2022-05-09,Product A,25,500
2022-05-09,Product B,48,720
2022-05-09,Product C,14,140
2022-05-10,Product A,31,620
2022-05-10,Product B,38,570
2022-05-10,Product C,12,120
2022-05-11,Product A,21,420
2022-05-11,Product B,35,525
2022-05-11,Product C,25,250
2022-05-12,Product A,46,920
2022-05-12,Product B,31,465
2022-05-12,Product C,38,380
2022-05-13,Product A,23,460
2022-05-13,Product B,37,555
2022-05-13,Product C,14,140
2022-05-14,Product A,39,780
2022-05-14,Product B,14,210
2022-05-14,Product C,21,210
2022-05-15,Product A,25,500
2022-05-15,Product B,35,525
2022-05-15,Product C,35,350
2022-05-16,Product A,30,600
2022-05-16,Product B,48,720
2022-05-16,Product C,45,450
2022-05-17,Product A,42,840
2022-05-17,Product B,39,585
2022-05-17,Product C,46,460
2022-05-18,Product A,32,640
2022-05-18,Product B,19,285
2022-05-18,Product C,14,140
2022-05-19,Product A,45,900
2022-05-19,Product B,43,645
2022-05-19,Product C,40,400
2022-05-20,Product A,19,380
2022-05-20,Product B,28,420
2022-05-20,Product C,41,410
2022-05-21,Product A,10,200
2022-05-21,Product B,14,210
2022-05-21,Product C,13,130
2022-05-22,Product A,25,500
2022-05-22,Product B,33,495
2022-05-22,Product C,25,250
2022-05-23,Product A,11,220
2022-05-23,Product B,37,555
2022-05-23,Product C,41,410
2022-05-24,Product A,36,720
2022-05-24,Product B,29,435
2022-05-24,Product C,33,330
2022-05-25,Product A,21,420
2022-05-25,Product B,44,660
2022-05-25,Product C,42,420
2022-05-26,Product A,42,840
2022-05-26,Product B,46,690
2022-05-26,Product C,21,210
2022-05-27,Product A,12,240
2022-05-27,Product B,10,150
2022-05-27,Product C,42,420
2022-05-28,Product A,49,980
2022-05-28,Product B,19,285
2022-05-28,Product C,38,380
2022-05-29,Product A,22,440
2022-05-29,Product B,21,315
2022-05-29,Product C,40,400
2022-05-30,Product A,11,220
2022-05-30,Product B,44,660
2022-05-30,Product C,32,320
2022-05-31,Product A,26,520
2022-05-31,Product B,35,525
2022-05-31,Product C,17,170
2022-06-01,Product A,38,760
2022-06-01,Product B,35,525
2022-06-01,Product C,19,190
2022-06-02,Product A,35,700
2022-06-02,Product B,43,645
2022-06-02,Product C,16,160
2022-06-03,Product A,13,260
2022-06-03,Product B,20,300
2022-06-03,Product C,38,380
2022-06-04,Product A,45,900
2022-06-04,Product B,34,510
2022-06-04,Product C,30,300
2022-06-05,Product A,45,900
2022-06-05,Product B,19,285
2022-06-05,Product C,46,460
2022-06-06,Product A,18,360
2022-06-06,Product B,33,495
2022-06-06,Product C,44,440
2022-06-07,Product A,44,880
2022-06-07,Product B,45,675
2022-06-07,Product C,27,270
2022-06-08,Product A,48,960
2022-06-08,Product B,41,615
2022-06-08,Product C,33,330
2022-06-09,Product A,32,640
2022-06-09,Product B,41,615
2022-06-09,Product C,46,460
2022-06-10,Product A,21,420
2022-06-10,Product B,22,330
2022-06-10,Product C,32,320
2022-06-11,Product A,34,680
2022-06-11,Product B,44,660
2022-06-11,Product C,39,390
2022-06-12,Product A,26,520
2022-06-12,Product B,29,435
2022-06-12,Product C,34,340
2022-06-13,Product A,31,620
2022-06-13,Product B,22,330
2022-06-13,Product C,28,280
2022-06-14,Product A,45,900
2022-06-14,Product B,21,315
2022-06-14,Product C,28,280
2022-06-15,Product A,21,420
2022-06-15,Product B,18,270
2022-06-15,Product C,16,160
2022-06-16,Product A,37,740
2022-06-16,Product B,23,345
2022-06-16,Product C,40,400
2022-06-17,Product A,28,560
2022-06-17,Product B,25,375
2022-06-17,Product C,14,140
2022-06-18,Product A,44,880
2022-06-18,Product B,21,315
2022-06-18,Product C,34,340
2022-06-19,Product A,30,600
2022-06-19,Product B,45,675
2022-06-19,Product C,32,320
2022-06-20,Product A,25,500
2022-06-20,Product B,48,720
2022-06-20,Product C,48,480
2022-06-21,Product A,23,460
2022-06-21,Product B,40,600
2022-06-21,Product C,14,140
2022-06-22,Product A,44,880
2022-06-22,Product B,32,480
2022-06-22,Product C,38,380
2022-06-23,Product A,20,400
2022-06-23,Product B,27,405
2022-06-23,Product C,21,210
2022-06-24,Product A,18,360
2022-06-24,Product B,19,285
2022-06-24,Product C,26,260
2022-06-25,Product A,47,940
2022-06-25,Product B,16,240
2022-06-25,Product C,22,220
2022-06-26,Product A,49,980
2022-06-26,Product B,18,270
2022-06-26,Product C,36,360
2022-06-27,Product A,11,220
2022-06-27,Product B,14,210
2022-06-27,Product C,38,380
2022-06-28,Product A,46,920
2022-06-28,Product B,47,705
2022-06-28,Product C,28,280
2022-06-29,Product A,17,340
2022-06-29,Product B,10,150
2022-06-29,Product C,31,310
2022-06-30,Product A,26,520
2022-06-30,Product B,16,240
2022-06-30,Product C,34,340
2022-07-01,Product A,13,260
2022-07-01,Product B,45,675
2022-07-01,Product C,15,150
2022-07-02,Product A,40,800
2022-07-02,Product B,28,420
2022-07-02,Product C,48,480
2022-07-03,Product A,36,720
2022-07-03,Product B,19,285
2022-07-03,Product C,35,350
2022-07-04,Product A,28,560
2022-07-04,Product B,48,720
2022-07-04,Product C,12,120
2022-07-05,Product A,22,440
2022-07-05,Product B,37,555
2022-07-05,Product C,29,290
2022-07-06,Product A,37,740
2022-07-06,Product B,17,255
2022-07-06,Product C,48,480
2022-07-07,Product A,10,200
2022-07-07,Product B,12,180
2022-07-07,Product C,22,220
2022-07-08,Product A,37,740
2022-07-08,Product B,34,510
2022-07-08,Product C,42,420
2022-07-09,Product A,47,940
2022-07-09,Product B,15,225
2022-07-09,Product C,41,410
2022-07-10,Product A,30,600
2022-07-10,Product B,25,375
2022-07-10,Product C,30,300
2022-07-11,Product A,20,400
2022-07-11,Product B,46,690
2022-07-11,Product C,45,450
2022-07-12,Product A,44,880
2022-07-12,Product B,28,420
2022-07-12,Product C,29,290
2022-07-13,Product A,27,540
2022-07-13,Product B,23,345
2022-07-13,Product C,24,240
2022-07-14,Product A,40,800
2022-07-14,Product B,10,150
2022-07-14,Product C,12,120
2022-07-15,Product A,25,500
2022-07-15,Product B,32,480
2022-07-15,Product C,20,200
2022-07-16,Product A,21,420
2022-07-16,Product B,19,285
2022-07-16,Product C,41,410
2022-07-17,Product A,25,500
2022-07-17,Product B,17,255
2022-07-17,Product C,47,470
2022-07-18,Product A,21,420
2022-07-18,Product B,33,495
2022-07-18,Product C,37,370
2022-07-19,Product A,17,340
2022-07-19,Product B,37,555
2022-07-19,Product C,45,450
2022-07-20,Product A,35,700
2022-07-20,Product B,17,255
2022-07-20,Product C,37,370
2022-07-21,Product A,37,740
2022-07-21,Product B,46,690
2022-07-21,Product C,45,450
2022-07-22,Product A,36,720
2022-07-22,Product B,26,390
2022-07-22,Product C,18,180
2022-07-23,Product A,42,840
2022-07-23,Product B,29,435
2022-07-23,Product C,22,220
2022-07-24,Product A,37,740
2022-07-24,Product B,38,570
2022-07-24,Product C,22,220
2022-07-25,Product A,44,880
2022-07-25,Product B,15,225
2022-07-25,Product C,27,270
2022-07-26,Product A,14,280
2022-07-26,Product B,34,510
2022-07-26,Product C,11,110
2022-07-27,Product A,19,380
2022-07-27,Product B,39,585
2022-07-27,Product C,14,140
2022-07-28,Product A,42,840
2022-07-28,Product B,10,150
2022-07-28,Product C,27,270
2022-07-29,Product A,41,820
2022-07-29,Product B,20,300
2022-07-29,Product C,30,300
2022-07-30,Product A,35,700
2022-07-30,Product B,34,510
2022-07-30,Product C,31,310
2022-07-31,Product A,36,720
2022-07-31,Product B,22,330
2022-07-31,Product C,42,420
2022-08-01,Product A,43,860
2022-08-01,Product B,44,660
2022-08-01,Product C,10,100
2022-08-02,Product A,30,600
2022-08-02,Product B,15,225
2022-08-02,Product C,37,370
2022-08-03,Product A,26,520
2022-08-03,Product B,14,210
2022-08-03,Product C,40,400
2022-08-04,Product A,14,280
2022-08-04,Product B,47,705
2022-08-04,Product C,12,120
2022-08-05,Product A,32,640
2022-08-05,Product B,46,690
2022-08-05,Product C,46,460
2022-08-06,Product A,19,380
2022-08-06,Product B,19,285
2022-08-06,Product C,28,280
2022-08-07,Product A,26,520
2022-08-07,Product B,30,450
2022-08-07,Product C,23,230
2022-08-08,Product A,18,360
2022-08-08,Product B,10,150
2022-08-08,Product C,22,220
2022-08-09,Product A,13,260
2022-08-09,Product B,10,150
2022-08-09,Product C,49,490
2022-08-10,Product A,41,820
2022-08-10,Product B,43,645
2022-08-10,Product C,37,370
2022-08-11,Product A,40,800
2022-08-11,Product B,17,255
2022-08-11,Product C,48,480
2022-08-12,Product A,35,700
2022-08-12,Product B,43,645
2022-08-12,Product C,12,120
2022-08-13,Product A,21,420
2022-08-13,Product B,10,150
2022-08-13,Product C,14,140
2022-08-14,Product A,39,780
2022-08-14,Product B,39,585
2022-08-14,Product C,26,260
2022-08-15,Product A,32,640
2022-08-15,Product B,24,360
2022-08-15,Product C,46,460
2022-08-16,Product A,30,600
2022-08-16,Product B,23,345
2022-08-16,Product C,11,110
2022-08-17,Product A,20,400
2022-08-17,Product B,48,720
2022-08-17,Product C,47,470
2022-08-18,Product A,43,860
2022-08-18,Product B,47,705
2022-08-18,Product C,43,430
2022-08-19,Product A,27,540
2022-08-19,Product B,39,585
2022-08-19,Product C,24,240
2022-08-20,Product A,36,720
2022-08-20,Product B,43,645
2022-08-20,Product C,47,470
2022-08-21,Product A,42,840
2022-08-21,Product B,33,495
2022-08-21,Product C,24,240
2022-08-22,Product A,39,780
2022-08-22,Product B,26,390
2022-08-22,Product C,14,140
2022-08-23,Product A,38,760
2022-08-23,Product B,13,195
2022-08-23,Product C,19,190
2022-08-24,Product A,26,520
2022-08-24,Product B,19,285
2022-08-24,Product C,26,260
2022-08-25,Product A,29,580
2022-08-25,Product B,33,495
2022-08-25,Product C,14,140
2022-08-26,Product A,43,860
2022-08-26,Product B,15,225
2022-08-26,Product C,11,110
2022-08-27,Product A,22,440
2022-08-27,Product B,20,300
2022-08-27,Product C,32,320
2022-08-28,Product A,25,500
2022-08-28,Product B,40,600
2022-08-28,Product C,20,200
2022-08-29,Product A,25,500
2022-08-29,Product B,17,255
2022-08-29,Product C,13,130
2022-08-30,Product A,49,980
2022-08-30,Product B,13,195
2022-08-30,Product C,34,340
2022-08-31,Product A,12,240
2022-08-31,Product B,41,615
2022-08-31,Product C,12,120
2022-09-01,Product A,36,720
2022-09-01,Product B,38,570
2022-09-01,Product C,41,410
2022-09-02,Product A,28,560
2022-09-02,Product B,30,450
2022-09-02,Product C,14,140
2022-09-03,Product A,27,540
2022-09-03,Product B,37,555
2022-09-03,Product C,31,310
2022-09-04,Product A,30,600
2022-09-04,Product B,15,225
2022-09-04,Product C,10,100
2022-09-05,Product A,14,280
2022-09-05,Product B,21,315
2022-09-05,Product C,35,350
2022-09-06,Product A,43,860
2022-09-06,Product B,23,345
2022-09-06,Product C,35,350
2022-09-07,Product A,36,720
2022-09-07,Product B,18,270
2022-09-07,Product C,35,350
2022-09-08,Product A,31,620
2022-09-08,Product B,39,585
2022-09-08,Product C,26,260
2022-09-09,Product A,35,700
2022-09-09,Product B,45,675
2022-09-09,Product C,10,100
2022-09-10,Product A,17,340
2022-09-10,Product B,44,660
2022-09-10,Product C,24,240
2022-09-11,Product A,31,620
2022-09-11,Product B,23,345
2022-09-11,Product C,35,350
2022-09-12,Product A,37,740
2022-09-12,Product B,32,480
2022-09-12,Product C,23,230
2022-09-13,Product A,33,660
2022-09-13,Product B,11,165
2022-09-13,Product C,35,350
2022-09-14,Product A,23,460
2022-09-14,Product B,16,240
2022-09-14,Product C,12,120
2022-09-15,Product A,32,640
2022-09-15,Product B,27,405
2022-09-15,Product C,47,470
2022-09-16,Product A,44,880
2022-09-16,Product B,24,360
2022-09-16,Product C,34,340
2022-09-17,Product A,46,920
2022-09-17,Product B,37,555
2022-09-17,Product C,19,190
2022-09-18,Product A,48,960
2022-09-18,Product B,26,390
2022-09-18,Product C,48,480
2022-09-19,Product A,31,620
2022-09-19,Product B,35,525
2022-09-19,Product C,34,340
2022-09-20,Product A,26,520
2022-09-20,Product B,22,330
2022-09-20,Product C,29,290
2022-09-21,Product A,34,680
2022-09-21,Product B,13,195
2022-09-21,Product C,19,190
2022-09-22,Product A,12,240
2022-09-22,Product B,27,405
2022-09-22,Product C,45,450
2022-09-23,Product A,31,620
2022-09-23,Product B,43,645
2022-09-23,Product C,17,170
2022-09-24,Product A,49,980
2022-09-24,Product B,28,420
2022-09-24,Product C,46,460
2022-09-25,Product A,15,300
2022-09-25,Product B,35,525
2022-09-25,Product C,43,430
2022-09-26,Product A,15,300
2022-09-26,Product B,46,690
2022-09-26,Product C,42,420
2022-09-27,Product A,31,620
2022-09-27,Product B,30,450
2022-09-27,Product C,15,150
2022-09-28,Product A,15,300
2022-09-28,Product B,13,195
2022-09-28,Product C,39,390
2022-09-29,Product A,20,400
2022-09-29,Product B,39,585
2022-09-29,Product C,40,400
2022-09-30,Product A,33,660
2022-09-30,Product B,18,270
2022-09-30,Product C,12,120
2022-10-01,Product A,40,800
2022-10-01,Product B,49,735
2022-10-01,Product C,46,460
2022-10-02,Product A,45,900
2022-10-02,Product B,33,495
2022-10-02,Product C,40,400
2022-10-03,Product A,15,300
2022-10-03,Product B,11,165
2022-10-03,Product C,29,290
2022-10-04,Product A,37,740
2022-10-04,Product B,20,300
2022-10-04,Product C,13,130
2022-10-05,Product A,24,480
2022-10-05,Product B,15,225
2022-10-05,Product C,39,390
2022-10-06,Product A,47,940
2022-10-06,Product B,11,165
2022-10-06,Product C,24,240
2022-10-07,Product A,20,400
2022-10-07,Product B,17,255
2022-10-07,Product C,35,350
2022-10-08,Product A,14,280
2022-10-08,Product B,15,225
2022-10-08,Product C,35,350
2022-10-09,Product A,13,260
2022-10-09,Product B,28,420
2022-10-09,Product C,29,290
2022-10-10,Product A,42,840
2022-10-10,Product B,29,435
2022-10-10,Product C,21,210
2022-10-11,Product A,10,200
2022-10-11,Product B,35,525
2022-10-11,Product C,23,230
2022-10-12,Product A,47,940
2022-10-12,Product B,46,690
2022-10-12,Product C,20,200
2022-10-13,Product A,45,900
2022-10-13,Product B,22,330
2022-10-13,Product C,12,120
2022-10-14,Product A,42,840
2022-10-14,Product B,15,225
2022-10-14,Product C,19,190
2022-10-15,Product A,14,280
2022-10-15,Product B,32,480
2022-10-15,Product C,19,190
2022-10-16,Product A,11,220
2022-10-16,Product B,22,330
2022-10-16,Product C,49,490
2022-10-17,Product A,11,220
2022-10-17,Product B,29,435
2022-10-17,Product C,10,100
2022-10-18,Product A,46,920
2022-10-18,Product B,18,270
2022-10-18,Product C,26,260
2022-10-19,Product A,18,360
2022-10-19,Product B,20,300
2022-10-19,Product C,24,240
2022-10-20,Product A,33,660
2022-10-20,Product B,47,705
2022-10-20,Product C,44,440
2022-10-21,Product A,39,780
2022-10-21,Product B,40,600
2022-10-21,Product C,14,140
2022-10-22,Product A,23,460
2022-10-22,Product B,20,300
2022-10-22,Product C,18,180
2022-10-23,Product A,43,860
2022-10-23,Product B,21,315
2022-10-23,Product C,44,440
2022-10-24,Product A,44,880
2022-10-24,Product B,10,150
2022-10-24,Product C,49,490
2022-10-25,Product A,31,620
2022-10-25,Product B,38,570
2022-10-25,Product C,17,170
2022-10-26,Product A,20,400
2022-10-26,Product B,46,690
2022-10-26,Product C,23,230
2022-10-27,Product A,39,780
2022-10-27,Product B,44,660
2022-10-27,Product C,30,300
2022-10-28,Product A,46,920
2022-10-28,Product B,14,210
2022-10-28,Product C,28,280
2022-10-29,Product A,23,460
2022-10-29,Product B,35,525
2022-10-29,Product C,13,130
2022-10-30,Product A,34,680
2022-10-30,Product B,34,510
2022-10-30,Product C,27,270
2022-10-31,Product A,49,980
2022-10-31,Product B,17,255
2022-10-31,Product C,48,480
2022-11-01,Product A,49,980
2022-11-01,Product B,23,345
2022-11-01,Product C,41,410
2022-11-02,Product A,47,940
2022-11-02,Product B,42,630
2022-11-02,Product C,32,320
2022-11-03,Product A,24,480
2022-11-03,Product B,42,630
2022-11-03,Product C,34,340
2022-11-04,Product A,26,520
2022-11-04,Product B,42,630
2022-11-04,Product C,11,110
2022-11-05,Product A,23,460
2022-11-05,Product B,49,735
2022-11-05,Product C,49,490
2022-11-06,Product A,48,960
2022-11-06,Product B,15,225
2022-11-06,Product C,15,150
